737
         0.4249           0.687          0.9602          0.0019          0.2198          0.6431          0.8046          0.4612          0.1952          0.1879          0.0142          0.4011          0.2305          0.7897 
         0.5093          0.4603          0.8045          0.1945          0.1292          0.6982          0.8245          0.2798          0.8173          0.4764          0.1652          0.5497          0.1126          0.5122 
          0.124          0.7151          0.2592          0.2293          0.2706          0.2558          0.6551          0.6708          0.0051          0.0026          0.3111          0.1591          0.5463          0.6776 
         0.5205          0.3598          0.1076          0.0715          0.0226          0.1406          0.2422          0.2392          0.3928          0.8104          0.0756          0.4141           0.225          0.6195 
          0.018          0.6171          0.6182           0.205          0.2248          0.2433          0.3278          0.2961          0.6883          0.8043          0.4293          0.7968          0.6384          0.8819 
         0.7118          0.2643          0.4324          0.0499          0.6658           0.379          0.6655          0.1648          0.8969          0.3111          0.3962          0.5901          0.6077          0.8219 
         0.1922          0.3389          0.0457          0.8449          0.6636          0.2361          0.2102          0.4067          0.9174          0.5359          0.2657          0.9175          0.8639          0.9635 
         0.3514          0.0353          0.5202           0.059          0.1185          0.8227          0.2674          0.2582          0.4137          0.5171          0.1662          0.5697          0.1114          0.5649 
         0.0446          0.6596          0.5313          0.3543          0.0052          0.1156          0.5757          0.2215          0.0889          0.4333          0.4187          0.8788          0.3777          0.9083 
         0.0756          0.3406          0.7815          0.2428          0.0368           0.743          0.9958          0.4319          0.1225          0.8929          0.6321          0.4567          0.3078          0.0415 
         0.5268          0.3761          0.1472          0.9313          0.1484          0.3049          0.5245          0.2309          0.4473          0.9961          0.0001          0.6697          0.8248          0.7394 
         0.1298           0.687          0.9603          0.0017          0.1693          0.7832          0.0287           0.312          0.0855          0.5121          0.4051          0.3971          0.2258          0.8449 
         0.1594          0.0773          0.2106           0.529          0.0195          0.8456          0.9674          0.2287          0.4183          0.5278          0.2465          0.5617          0.1526          0.1612 
         0.0746          0.6696          0.8383          0.4142          0.5791          0.1156          0.6707          0.0276          0.0589          0.4838          0.4187          0.4788          0.1677          0.7682 
         0.4249           0.687          0.9673          0.6019          0.2292          0.5983          0.5242          0.0275          0.0569          0.4838          0.4187          0.0888          0.2678           0.561 
         0.0746          0.6526          0.3383          0.4146          0.5291           0.115          0.5705          0.3397          0.8173          0.1364          0.3652          0.1417          0.1126           0.592 
         0.0454          0.4599          0.0104          0.2422          0.0999          0.3633          0.9174          0.3596          0.9674          0.7497          0.4226          0.1148          0.9835          0.9396 
         0.1127          0.6993          0.6905          0.7855           0.682          0.2936          0.7507          0.2468          0.1456          0.1579          0.0142          0.4002          0.9305          0.8867 
         0.0464          0.6598          0.5107          0.0128          0.0091          0.2611          0.9174          0.3465          0.5871          0.5119          0.5449          0.4064          0.7341          0.7824 
         0.3998           0.487          0.9607          0.0096          0.0693          0.7536          0.5245          0.3069          0.1673          0.3664          0.4208          0.4383          0.2617          0.5944 
         0.4115          0.5797          0.0021           0.028          0.1405          0.1547          0.9275          0.2288          0.2581          0.6735          0.8627          0.8321           0.838          0.5825 
          0.032          0.2526          0.9328          0.3707          0.3054          0.0889          0.6525          0.6314          0.1974          0.1192          0.3902          0.1979          0.2832          0.8211 
         0.4848          0.5599          0.9108          0.0902          0.2959          0.0973          0.9176          0.3468          0.4272          0.3859          0.3955          0.1951          0.2934          0.1323 
           0.71          0.6191          0.2982           0.252          0.0248          0.2433          0.0273          0.7661           0.688          0.8344          0.4298          0.1961          0.6304           0.585 
         0.4115          0.5747          0.0525          0.0706          0.3058          0.0789          0.6525          0.4214          0.1974          0.4195          0.3909          0.1911          0.2938          0.4211 
          0.092          0.2676          0.6426           0.928          0.1185          0.1547          0.9225          0.2287          0.3581          0.6735          0.2623          0.8351           0.048          0.8825 
         0.9514          0.0763          0.5507           0.029          0.1199          0.5756          0.9614           0.296          0.5359          0.8628          0.4051          0.2578          0.8552          0.0617 
         0.1121          0.8772          0.3292          0.0264          0.1995          0.2052          0.5235           0.758          0.7977          0.5361          0.2159          0.4467           0.428          0.2849 
          0.718          0.6171          0.2182           0.253          0.0249          0.2433          0.0273          0.2661           0.688          0.8044          0.4298          0.7961          0.6384          0.8819 
         0.9764          0.5499          0.0643          0.7017          0.2391          0.5952          0.5245          0.2865          0.7178          0.5325          0.8607          0.8351           0.877          0.8865 
         0.1298           0.187          0.9603          0.0017          0.1693          0.7532          0.5245          0.2709          0.7977          0.9961          0.0001          0.4767           0.824          0.7854 
         0.0246          0.6526          0.3317          0.9616          0.2591          0.1173           0.276          0.2215          0.3088          0.4382          0.3677          0.9001          0.3471          0.9501 
         0.1205          0.2598          0.2376          0.0715          0.0827          0.1411          0.2422          0.3392          0.3928          0.8404          0.0759          0.4141          0.2206          0.6195 
         0.7357          0.4029          0.2538          0.6041          0.6359          0.1437          0.7501          0.8506          0.7624          0.7699          0.0552          0.1979          0.5621          0.0892 
         0.0986          0.2691          0.4553          0.4071          0.3776          0.3991          0.3242           0.225          0.0313          0.8044          0.9401          0.5853          0.6384          0.9336 
         0.0118          0.2643          0.0321          0.0409          0.6658           0.379          0.6655          0.1648          0.8959          0.3911          0.3962          0.5901          0.6773          0.8213 
          0.524          0.7121          0.2592          0.2293          0.3798          0.2558          0.0531          0.6708          0.0151          0.0026          0.3011          0.1291          0.3443          0.6276 
         0.5268          0.3361          0.1472          0.9385          0.1483          0.8049          0.0247            0.31          0.0492          0.5325          0.4052          0.3921          0.2258          0.8449 
         0.5205          0.7598          0.2376          0.6715          0.9857          0.1476          0.7521          0.8506          0.7624          0.7669          0.0202          0.1971          0.3621          0.0864 
         0.0457          0.9599          0.0107          0.0542          0.1979          0.2354          0.3243          0.3406          0.1352          0.5819          0.7345          0.4064          0.7362          0.7892 
         0.7357          0.4129            0.02          0.0781          0.3646          0.6661           0.224          0.2295          0.0013          0.2243          0.5645          0.8249          0.8313          0.4148 
